,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema30,ema50,ema100,buy,sell
0,202507012000,1.60991,1.60878,1.60974,1.6088900000000002,1735,m15,1,,,1.60974,1.60974,1.60974,0,0
1,202507012015,1.61,1.60949,1.6099700000000001,1.60974,961,m15,1,,,1.6098588333333332,1.6098573,1.60985615,0,0
2,202507012030,1.61096,1.60993,1.61066,1.6099700000000001,1414,m15,1,,,1.6101438837467605,1.6101356392481003,1.6101294766841108,0,0
3,202507012045,1.61093,1.6105,1.61093,1.61066,1249,m15,1,,1.0,1.6103604874213837,1.610346300479808,1.610335651059894,0,0
4,202507012100,1.61093,1.60966,1.60971,1.61093,119,m15,1,1.0,,1.6102124857840638,1.610208660175902,1.6102054660967897,1,0
5,202507012115,1.6099,1.6094300000000001,1.60986,1.60971,208,m15,1,,,1.6101435274929279,1.6101445874486144,1.6101449715389646,0,0
6,202507012130,1.61016,1.60979,1.6101100000000002,1.60986,522,m15,1,,,1.6101377286946028,1.6101390341172561,1.6101396709046825,0,0
7,202507012145,1.61034,1.61008,1.6102,1.6101100000000002,476,m15,1,,,1.6101474452549964,1.6101477634946872,1.610147750367974,0,0
8,202507012200,1.61076,1.61016,1.6107,1.6102,649,m15,1,,,1.6102264345582071,1.6102193884988778,1.6102141336473104,0,0
9,202507012215,1.61083,1.6102800000000002,1.61057,1.6107,882,m15,1,,,1.6102719761027542,1.6102610894859162,1.6102530075677073,0,0
10,202507012230,1.6106800000000001,1.61043,1.61057,1.61057,1004,m15,1,,,1.610308964204551,1.6102951178319176,1.6102847923185304,0,0
11,202507012245,1.61064,1.6100700000000001,1.6101400000000001,1.61057,693,m15,1,,,1.6102891732958369,1.610279162545326,1.6102713552780887,0,0
12,202507012300,1.61051,1.6099700000000001,1.6104100000000001,1.6101400000000001,1501,m15,1,,,1.6103026184116385,1.6102918151197105,1.6102833464504789,0,0
13,202507012315,1.61043,1.60989,1.61018,1.6104100000000001,1036,m15,1,,,1.6102895834359023,1.6102815899258227,1.6102749669704797,0,0
14,202507012330,1.6104100000000001,1.60993,1.6103,1.61018,1202,m15,1,,,1.610290646352604,1.610283189908202,1.6102768794868112,0,0
15,202507012345,1.6105500000000001,1.61026,1.61043,1.6103,1325,m15,1,,,1.6103043518424216,1.6102953680722984,1.6102879512156667,0,0
16,202507020000,1.61044,1.60958,1.60985,1.61043,2767,m15,1,,,1.6102611285762558,1.6102599720652235,1.6102578638954992,0,0
17,202507020015,1.6099400000000001,1.60955,1.6096300000000001,1.60985,1705,m15,1,,,1.6102028718024894,1.6102118422142804,1.6102167404070373,0,0
18,202507020030,1.60976,1.60942,1.6096000000000001,1.6096300000000001,1341,m15,1,,,1.6101487279262388,1.6101667733377065,1.610178110682463,0,0
19,202507020045,1.61032,1.60958,1.61019,1.6096000000000001,1639,m15,1,,,1.610152343126261,1.6101684272656551,1.6101788247860807,0,0
20,202507020100,1.6104100000000001,1.60993,1.6100400000000001,1.61019,2161,m15,1,,,1.6101427244853834,1.6101595656994692,1.6101708093131581,0,0
21,202507020115,1.6103,1.60998,1.61017,1.6100400000000001,1568,m15,1,,,1.6101450115103628,1.6101602648489506,1.6101707642928842,0,0
22,202507020130,1.61059,1.60989,1.61054,1.61017,2024,m15,1,,1.0,1.6101775027558825,1.6101850210177182,1.610190593644416,-1,1
23,202507020145,1.61064,1.60925,1.60935,1.61054,2885,m15,1,1.0,,1.610110620113703,1.61013196163693,1.6101469308395016,0,-1
24,202507020200,1.60969,1.6090600000000002,1.6096000000000001,1.60935,2854,m15,1,,,1.6100700116730886,1.610098962201221,1.6101194063686226,0,0
25,202507020215,1.6101100000000002,1.60947,1.6101,1.6096000000000001,1680,m15,1,,,1.6100723613039631,1.610099025143299,1.6101184586639765,0,0
26,202507020230,1.61015,1.6098000000000001,1.6100100000000002,1.6101,1384,m15,1,,,1.6100675418798573,1.6100937391046883,1.6101133115499493,0,0
27,202507020245,1.6102,1.60989,1.6099400000000001,1.6100100000000002,1842,m15,1,,,1.610057809398252,1.6100847909562082,1.6101053080539591,0,0
28,202507020300,1.61044,1.60973,1.61042,1.6099400000000001,1818,m15,1,,1.0,1.6100851253738135,1.610103937729125,1.6101194669889338,0,1
29,202507020315,1.61043,1.60976,1.60985,1.61042,1300,m15,1,,,1.6100675837537823,1.610089688197026,1.6101076407748913,0,0
30,202507020330,1.6101,1.60972,1.60975,1.60985,1245,m15,1,,,1.610044126955955,1.6100709435967395,1.610092313992326,0,0
31,202507020345,1.61009,1.60962,1.61005,1.60975,1487,m15,1,,,1.6100445567243464,1.610069806053854,1.6100905414781101,0,0
32,202507020400,1.61027,1.61002,1.61013,1.61005,1287,m15,1,,,1.610050755475113,1.610073026833165,1.61009215865836,0,0
33,202507020415,1.6101400000000001,1.60972,1.60975,1.61013,969,m15,1,,,1.6100291100807063,1.6100559862609087,1.610078426403351,0,0
34,202507020430,1.6098400000000002,1.6095000000000002,1.60968,1.60975,1248,m15,1,,,1.6100041704999721,1.6100364168437373,1.6100627545324055,0,0
35,202507020445,1.60978,1.60949,1.60965,1.60968,904,m15,1,,,1.6099790433316763,1.6100165593552258,1.6100468301155262,0,0
36,202507020500,1.60983,1.60925,1.6094000000000002,1.60965,1901,m15,1,,,1.609938224696319,1.6099852561811487,1.6100223348588623,0,0
37,202507020515,1.60979,1.60924,1.60972,1.6094000000000002,1522,m15,1,,,1.609922932734003,1.6099719427660313,1.610011088723081,0,0
38,202507020530,1.6097700000000001,1.60925,1.60949,1.60972,1838,m15,1,,,1.609892762928706,1.6099480162773065,1.6099920368840464,0,0
39,202507020545,1.60952,1.60883,1.6089,1.60949,2417,m15,1,,,1.609823936106453,1.6098965236321556,1.6099527683901487,0,0
40,202507020600,1.60956,1.60861,1.60935,1.6089,2903,m15,1,,,1.6097912361657638,1.6098699347479377,1.6099314381075727,0,0
41,202507020615,1.60937,1.60849,1.60873,1.60935,2648,m15,1,,,1.6097183411643665,1.609814994236948,1.6098895750280395,0,0
42,202507020630,1.60887,1.6082800000000002,1.60836,1.60873,2348,m15,1,,,1.6096254260883667,1.6097454932133188,1.609837068116624,0,0
43,202507020645,1.6084800000000001,1.60775,1.6082,1.60836,2524,m15,1,,,1.6095282997302236,1.6096722952600155,1.6097816758235957,0,0
44,202507020700,1.6082100000000001,1.60754,1.60776,1.6082,3444,m15,1,,,1.6094082453637295,1.609582456627431,1.609714216580166,0,0
45,202507020715,1.60785,1.60696,1.6073,1.60776,2688,m15,1,,,1.609265592877428,1.6094760540942075,1.609634737260288,0,0
46,202507020730,1.60781,1.60659,1.607,1.6073,2860,m15,1,,,1.6091127746805554,1.6093614746231217,1.6095491213261757,0,0
47,202507020745,1.60755,1.6068,1.60686,1.607,2693,m15,1,,,1.6089612658654044,1.6092465302479197,1.6094628334374999,0,0
48,202507020800,1.60741,1.60668,1.60698,1.60686,2458,m15,1,,,1.6088283810524535,1.6091430784621858,1.6093841317773028,0,0
49,202507020815,1.6076000000000001,1.60639,1.6076000000000001,1.60698,2596,m15,1,,,1.608746202649655,1.6090730971690395,1.6093282426652447,0,0
50,202507020830,1.6079,1.6070600000000002,1.6073600000000001,1.6076000000000001,3295,m15,1,,,1.6086536865438594,1.608995879046259,1.609267288573093,0,0
51,202507020845,1.60747,1.6068900000000002,1.60711,1.6073600000000001,3017,m15,1,,,1.60855088853535,1.608911367943623,1.6092012177582444,0,0
52,202507020900,1.6073,1.60663,1.60683,1.60711,2346,m15,1,,,1.6084365276562937,1.6088186156042843,1.609129372688987,0,0
53,202507020915,1.60708,1.60627,1.60657,1.60683,2523,m15,1,,,1.6083127283700511,1.6087189431761584,1.6090526322805705,0,0
54,202507020930,1.6069200000000001,1.60625,1.60654,1.60657,2087,m15,1,,,1.6081953628286891,1.608622850135256,1.6089780527155915,0,0
55,202507020945,1.60724,1.6061,1.60646,1.60654,2340,m15,1,,,1.6080806649595671,1.608527930498644,1.6089040434635882,0,0
56,202507021000,1.60759,1.60644,1.6075000000000002,1.60646,2069,m15,1,,1.0,1.6080423467014997,1.6084830280875337,1.6088631685420944,0,0
57,202507021015,1.6075700000000002,1.60622,1.60623,1.6075000000000002,1673,m15,1,,,1.6079229254370353,1.6083850481875732,1.6087872180962206,0,0
58,202507021030,1.60646,1.60592,1.60602,1.60623,1663,m15,1,,,1.6077977080818873,1.6082826343008416,1.6087081163782384,0,0
59,202507021045,1.6061400000000001,1.60515,1.60545,1.60602,2458,m15,1,,,1.607643421370809,1.608160471819085,1.6086157930964762,0,0
