,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,peaks_min,peaks_max,bidclose_median,bidopen_median,min_low_median,max_high_median,ema50,ema80,trend,signal,valid_signal
0,202508120224,172.409,172.374,172.38299999999998,172.38899999999998,299,m1,0,0,172.3675,172.3675,172.363,172.373,172.38299999999998,172.38299999999998,BEAR,0,0
1,202508120225,172.386,172.368,172.369,172.38299999999998,158,m1,0,0,172.3675,172.3675,172.363,172.373,172.37586,172.3759125,BEAR,0,0
2,202508120226,172.37,172.34799999999998,172.35899999999998,172.369,238,m1,0,0,172.3675,172.3675,172.363,172.373,172.37001373150247,172.3701334826311,BEAR,0,0
3,202508120227,172.362,172.35,172.355,172.35899999999998,175,m1,0,0,172.3675,172.3675,172.363,172.373,172.36603215113954,172.36620706823152,BULL,0,0
4,202508120228,172.35899999999998,172.34099999999998,172.343,172.355,166,m1,0,0,172.3675,172.3675,172.363,172.373,172.36104998880734,172.36133072008582,BULL,0,0
5,202508120229,172.35,172.34,172.34,172.343,173,m1,1,0,172.3675,172.3675,172.363,172.373,172.35718166576535,172.35754974967233,BULL,1,1
6,202508120230,172.352,172.332,172.345,172.34,148,m1,0,0,172.3675,172.3675,172.363,172.373,172.35522578786157,172.35561970206095,BULL,0,0
7,202508120231,172.352,172.339,172.34099999999998,172.345,154,m1,0,0,172.3675,172.3675,172.363,172.373,172.3531888736743,172.35362839178828,BULL,0,0
8,202508120232,172.35399999999998,172.33599999999998,172.35399999999998,172.34099999999998,140,m1,0,0,172.3675,172.3675,172.363,172.373,172.35329407665512,172.35367392937542,BULL,0,0
9,202508120233,172.361,172.332,172.34099999999998,172.35399999999998,275,m1,0,0,172.3675,172.3675,172.363,172.373,172.35183184529762,172.3522592671297,BULL,0,0
10,202508120234,172.35299999999998,172.338,172.34099999999998,172.34099999999998,219,m1,0,0,172.3675,172.3675,172.363,172.373,172.35063865256762,172.35110302011174,BULL,0,0
11,202508120235,172.35899999999998,172.338,172.357,172.34099999999998,176,m1,0,0,172.3675,172.3675,172.363,172.373,172.35129297528562,172.35166478004322,BULL,0,0
12,202508120236,172.364,172.344,172.346,172.357,197,m1,0,0,172.3675,172.3675,172.363,172.373,172.35078112060546,172.35116071253026,BULL,0,0
13,202508120237,172.367,172.346,172.36599999999999,172.346,180,m1,0,0,172.3675,172.3675,172.363,172.373,172.35217284645586,172.35240138792489,BULL,0,0
14,202508120238,172.37,172.36499999999998,172.36599999999999,172.36599999999999,48,m1,0,0,172.3675,172.3675,172.363,172.373,172.35337453645533,172.3534750760418,BULL,0,0
15,202508120239,172.373,172.363,172.369,172.36599999999999,193,m1,0,0,172.3675,172.3675,172.363,172.373,172.3546706970721,172.35463776492492,BULL,0,0
16,202508120240,172.373,172.36499999999998,172.367,172.369,178,m1,0,0,172.3675,172.3675,172.363,172.373,172.35565057892896,172.35551933909258,BULL,0,0
17,202508120241,172.37199999999999,172.357,172.368,172.367,208,m1,0,0,172.3675,172.3675,172.363,172.373,172.3565940744079,172.3563697135321,BULL,0,0
18,202508120242,172.373,172.363,172.37199999999999,172.368,209,m1,0,0,172.3675,172.3675,172.363,172.373,172.35772888946772,172.35739034839958,BULL,0,0
19,202508120243,172.374,172.369,172.37199999999999,172.37199999999999,75,m1,0,0,172.3675,172.3675,172.363,172.373,172.35874510902906,172.35830711018977,BULL,0,0
20,202508120244,172.373,172.36499999999998,172.367,172.37199999999999,108,m1,0,0,172.3675,172.3675,172.363,172.373,172.35931470196033,172.35883259329154,BULL,0,0
21,202508120245,172.373,172.367,172.37099999999998,172.367,193,m1,0,0,172.3675,172.3675,172.363,172.373,172.36009767443088,172.35954271720908,BULL,0,0
22,202508120246,172.374,172.367,172.37,172.37099999999998,149,m1,0,0,172.3675,172.3675,172.363,172.373,172.3607432392207,172.36013315269358,BULL,0,0
23,202508120247,172.381,172.369,172.373,172.37,156,m1,0,0,172.3675,172.3675,172.363,172.373,172.3615220652905,172.3608372662793,BULL,0,0
24,202508120248,172.391,172.373,172.38899999999998,172.373,164,m1,0,1,172.3675,172.3675,172.363,172.373,172.36322661741778,172.36233348396382,BULL,0,0
25,202508120249,172.38899999999998,172.375,172.378,172.38899999999998,187,m1,0,0,172.3675,172.3675,172.363,172.373,172.3641226171224,172.36314279421418,BULL,0,0
26,202508120250,172.386,172.373,172.381,172.378,301,m1,0,0,172.367,172.3675,172.36,172.373,172.36512474409727,172.3640410489737,BULL,0,0
27,202508120251,172.387,172.378,172.382,172.381,194,m1,0,0,172.367,172.367,172.357,172.373,172.36610694245056,172.3649218634291,BULL,0,0
28,202508120252,172.387,172.379,172.386,172.382,114,m1,0,0,172.367,172.367,172.357,172.373,172.36724321207862,172.36593108226512,FLAT,0,0
29,202508120253,172.38799999999998,172.37699999999998,172.38,172.386,191,m1,0,0,172.367,172.367,172.35750000000002,172.373,172.367959050011,172.36658943426673,FLAT,0,0
30,202508120254,172.38,172.364,172.37199999999999,172.38,206,m1,0,0,172.367,172.367,172.3605,172.373,172.36818203683532,172.3668371452725,FLAT,0,0
31,202508120255,172.39,172.36499999999998,172.39,172.37199999999999,164,m1,0,1,172.3675,172.367,172.363,172.373,172.3693670705754,172.367875701609,BEAR,-1,-1
32,202508120256,172.39,172.374,172.379,172.39,195,m1,0,0,172.368,172.3675,172.3635,172.373,172.36988249682307,172.36836463349903,BEAR,0,0
33,202508120257,172.386,172.37099999999998,172.37199999999999,172.379,227,m1,0,0,172.368,172.368,172.364,172.373,172.36999420105994,172.3685213947811,BEAR,0,0
34,202508120258,172.373,172.357,172.361,172.37199999999999,147,m1,0,0,172.36849999999998,172.368,172.364,172.37349999999998,172.36952606886746,172.36820293258657,FLAT,0,0
35,202508120259,172.36499999999998,172.352,172.356,172.361,248,m1,0,0,172.369,172.36849999999998,172.3645,172.374,172.36883098074827,172.36769521115713,FLAT,0,0
36,202508120300,172.37099999999998,172.343,172.367,172.356,326,m1,0,0,172.36950000000002,172.369,172.36499999999998,172.374,172.3687380205027,172.36766676698502,BULL,0,0
37,202508120301,172.367,172.333,172.333,172.367,329,m1,1,0,172.3705,172.36950000000002,172.36499999999998,172.3745,172.36694430131257,172.36627103878868,BULL,1,1
38,202508120302,172.358,172.331,172.35299999999998,172.333,260,m1,0,0,172.37149999999997,172.3705,172.36499999999998,172.3755,172.36625202374015,172.3657449214652,BULL,0,0
39,202508120303,172.368,172.35299999999998,172.368,172.35299999999998,121,m1,0,1,172.37199999999999,172.37149999999997,172.36499999999998,172.3765,172.3663379078273,172.36583300476337,BULL,0,0
40,202508120304,172.375,172.356,172.367,172.368,165,m1,0,0,172.37199999999999,172.37199999999999,172.36599999999999,172.37699999999998,172.36637011922878,172.36587794187747,BULL,0,0
41,202508120305,172.376,172.364,172.367,172.367,154,m1,0,0,172.37199999999999,172.37199999999999,172.367,172.378,172.36640047708173,172.3659205598316,BULL,0,0
42,202508120306,172.367,172.349,172.351,172.367,193,m1,0,0,172.3725,172.37199999999999,172.367,172.3795,172.36566483917034,172.36536128103808,BULL,0,0
43,202508120307,172.355,172.344,172.351,172.351,272,m1,0,0,172.373,172.3725,172.368,172.38049999999998,172.3649702801755,172.36482976548527,BULL,0,0
44,202508120308,172.351,172.34,172.351,172.351,265,m1,0,0,172.3745,172.373,172.369,172.381,172.3643139637091,172.3643241501454,BULL,0,0
45,202508120309,172.37099999999998,172.351,172.368,172.351,226,m1,0,0,172.376,172.3745,172.37,172.382,172.36448579768577,172.36445696268459,BULL,0,0
46,202508120310,172.374,172.364,172.369,172.368,162,m1,0,0,172.377,172.376,172.37099999999998,172.38299999999998,172.36469469252162,172.36461925113042,BULL,0,0
47,202508120311,172.38299999999998,172.367,172.382,172.369,194,m1,0,1,172.37849999999997,172.377,172.37149999999997,172.3845,172.36548988258167,172.365233359856,BULL,0,0
48,202508120312,172.38299999999998,172.37699999999998,172.38,172.382,156,m1,0,0,172.3795,172.37849999999997,172.3725,172.386,172.36615217136406,172.36574961146317,BULL,0,0
49,202508120313,172.381,172.37199999999999,172.376,172.38,143,m1,0,0,172.38,172.3795,172.373,172.3865,172.3665987875275,172.36610432918982,BULL,0,0
50,202508120314,172.37699999999998,172.357,172.358,172.376,211,m1,0,0,172.38,172.38,172.373,172.3865,172.36621119583506,172.36582662957818,BULL,0,0
51,202508120315,172.358,172.351,172.357,172.358,210,m1,1,0,172.38049999999998,172.38,172.373,172.3865,172.36579841839944,172.36552704817987,BULL,1,1
52,202508120316,172.367,172.357,172.364,172.357,160,m1,0,0,172.381,172.38049999999998,172.37349999999998,172.387,172.36571827518682,172.3654756941847,BULL,0,0
53,202508120317,172.37099999999998,172.358,172.36499999999998,172.364,128,m1,0,0,172.381,172.381,172.37349999999998,172.3875,172.36568643682733,172.36545983850874,BULL,0,0
54,202508120318,172.37699999999998,172.36499999999998,172.373,172.36499999999998,74,m1,0,0,172.381,172.381,172.37349999999998,172.38899999999998,172.3660089704908,172.36570901166334,BULL,0,0
55,202508120319,172.379,172.37099999999998,172.376,172.373,120,m1,0,0,172.386,172.381,172.37349999999998,172.39,172.36644744048692,172.36604627127164,BULL,0,0
56,202508120320,172.41299999999998,172.373,172.41199999999998,172.376,252,m1,0,0,172.394,172.386,172.3755,172.3965,172.36843728294912,172.36754020931437,BULL,0,0
57,202508120321,172.428,172.41,172.428,172.41199999999998,155,m1,0,1,172.3995,172.394,172.38649999999998,172.408,172.37102755205865,172.36949048608534,BULL,0,0
58,202508120322,172.429,172.40699999999998,172.422,172.428,197,m1,0,0,172.4055,172.3995,172.3965,172.415,172.37323481639152,172.3711715881315,BULL,0,0
59,202508120323,172.42499999999998,172.41899999999998,172.423,172.422,99,m1,0,0,172.411,172.4055,172.397,172.4175,172.37538103001776,172.37281882051386,BULL,0,0
60,202508120324,172.426,172.417,172.41899999999998,172.423,140,m1,0,0,172.4135,172.411,172.399,172.41949999999997,172.3772548483202,172.3742762355605,BULL,0,0
61,202508120325,172.421,172.397,172.398,172.41899999999998,161,m1,1,0,172.41699999999997,172.4135,172.404,172.42149999999998,172.3781427116299,172.37501981882062,BULL,1,1
62,202508120326,172.403,172.396,172.40099999999998,172.398,98,m1,0,0,172.41949999999997,172.41699999999997,172.4085,172.4235,172.3791174789182,172.3758287448325,BULL,0,0
63,202508120327,172.417,172.40099999999998,172.41,172.40099999999998,129,m1,0,0,172.421,172.41949999999997,172.41,172.4255,172.38042998660742,172.37688589710322,BULL,0,0
64,202508120328,172.41799999999998,172.41,172.415,172.41,60,m1,0,0,172.4225,172.421,172.413,172.427,172.3818944031556,172.37805771021675,BULL,0,0
65,202508120329,172.422,172.397,172.42,172.415,158,m1,0,0,172.4255,172.4225,172.41649999999998,172.42849999999999,172.3835035291372,172.37933946134098,BULL,0,0
66,202508120330,172.434,172.416,172.433,172.42,224,m1,0,0,172.4305,172.4255,172.418,172.4315,172.3855873923901,172.38096975328796,BULL,0,0
67,202508120331,172.44199999999998,172.42999999999998,172.44,172.433,173,m1,0,0,172.43449999999999,172.4305,172.42399999999998,172.438,172.3878716398016,172.3827530381629,BULL,0,0
68,202508120332,172.445,172.432,172.43599999999998,172.44,171,m1,0,0,172.43699999999998,172.43449999999999,172.429,172.44299999999998,172.3898865038533,172.3843527839387,BULL,0,0
69,202508120333,172.459,172.429,172.451,172.43599999999998,167,m1,0,1,172.438,172.43699999999998,172.4295,172.4445,172.39243822386578,172.38634446492333,BULL,0,0
70,202508120334,172.453,172.44199999999998,172.444,172.451,159,m1,0,0,172.439,172.438,172.43099999999998,172.44549999999998,172.39458567293198,172.38805853865225,BULL,0,0
71,202508120335,172.446,172.432,172.438,172.444,174,m1,0,0,172.44,172.439,172.432,172.447,172.3963894089743,172.38953583344752,BULL,0,0
72,202508120336,172.444,172.429,172.444,172.438,167,m1,0,0,172.44,172.44,172.432,172.44849999999997,172.39836288645114,172.39113907373644,BULL,0,0
73,202508120337,172.45,172.43699999999998,172.438,172.444,187,m1,0,0,172.44,172.44,172.432,172.44849999999997,172.4000021968219,172.39251198561664,BULL,0,0
74,202508120338,172.456,172.434,172.447,172.438,173,m1,0,0,172.44,172.44,172.432,172.44849999999997,172.4019417752214,172.3941010332337,BULL,0,0
75,202508120339,172.469,172.447,172.463,172.447,210,m1,0,0,172.44,172.44,172.432,172.44849999999997,172.40445645613315,172.39610140561584,BULL,0,0
76,202508120340,172.46599999999998,172.452,172.463,172.463,165,m1,0,0,172.442,172.44,172.432,172.4495,172.40686283117145,172.39803530325773,BULL,0,0
77,202508120341,172.47199999999998,172.45499999999998,172.462,172.463,243,m1,0,0,172.444,172.442,172.433,172.4515,172.4091249189216,172.39987662409018,BULL,0,0
78,202508120342,172.483,172.458,172.48,172.462,265,m1,0,0,172.4445,172.444,172.435,172.453,172.41202742286163,172.4021736901649,BULL,0,0
79,202508120343,172.48399999999998,172.476,172.481,172.48,188,m1,0,1,172.44549999999998,172.4445,172.43649999999997,172.4535,172.41484711774513,172.40442461687275,BULL,0,0
80,202508120344,172.487,172.471,172.471,172.481,172,m1,0,0,172.44650000000001,172.44549999999998,172.43699999999998,172.4545,172.41713890822575,172.40631839405708,BULL,0,0
81,202508120345,172.476,172.459,172.45999999999998,172.471,222,m1,0,0,172.447,172.44650000000001,172.438,172.45499999999998,172.4188854249942,172.40783968860438,BULL,0,0
82,202508120346,172.464,172.45999999999998,172.463,172.45999999999998,83,m1,0,0,172.447,172.447,172.44,172.45549999999997,172.42068026827013,172.4093972068995,BULL,0,0
83,202508120347,172.464,172.444,172.446,172.463,208,m1,0,0,172.4475,172.447,172.441,172.4565,172.42170891316562,172.4104270804054,BULL,0,0
84,202508120348,172.45499999999998,172.441,172.453,172.446,154,m1,0,0,172.44849999999997,172.4475,172.4415,172.458,172.4229783610304,172.41162081964612,BULL,0,0
85,202508120349,172.45499999999998,172.43699999999998,172.44,172.453,180,m1,1,0,172.4495,172.44849999999997,172.44299999999998,172.459,172.42366797850923,172.4124139125639,BULL,1,1
86,202508120350,172.44799999999998,172.43599999999998,172.447,172.44,210,m1,0,0,172.45049999999998,172.4495,172.444,172.4605,172.42461203003248,172.41337732967085,BULL,0,0
87,202508120351,172.44899999999998,172.444,172.445,172.447,70,m1,0,0,172.452,172.45049999999998,172.44549999999998,172.463,172.42543593391017,172.41425542042577,BULL,0,0
88,202508120352,172.453,172.441,172.447,172.445,208,m1,0,0,172.452,172.452,172.44650000000001,172.4635,172.42630632470252,172.41516187546756,BULL,0,0
89,202508120353,172.45399999999998,172.439,172.45,172.447,192,m1,0,0,172.452,172.452,172.44650000000001,172.4635,172.42726157695867,172.41612340909526,BULL,0,0
90,202508120354,172.48,172.45,172.46699999999998,172.45,255,m1,0,0,172.452,172.452,172.44650000000001,172.4635,172.42886193936363,172.4175235325214,BULL,0,0
91,202508120355,172.475,172.45999999999998,172.468,172.46699999999998,328,m1,0,0,172.4555,172.452,172.447,172.4635,172.43043645987592,172.4189087263459,BULL,0,0
92,202508120356,172.47799999999998,172.463,172.47299999999998,172.468,317,m1,0,0,172.45749999999998,172.4555,172.447,172.4635,172.43214705219006,172.42038904663707,BULL,0,0
93,202508120357,172.495,172.47199999999998,172.49099999999999,172.47299999999998,288,m1,0,1,172.45749999999998,172.45749999999998,172.447,172.4635,172.43451000164714,172.4223163055364,BULL,0,0
94,202508120358,172.495,172.48,172.486,172.49099999999999,191,m1,0,0,172.45749999999998,172.45749999999998,172.44799999999998,172.4635,172.4365753983779,172.42404997926533,BULL,0,0
95,202508120359,172.488,172.463,172.464,172.486,251,m1,0,0,172.45749999999998,172.45749999999998,172.4495,172.4635,172.43767448416818,172.42513479993968,BULL,0,0
96,202508120400,172.464,172.42999999999998,172.42999999999998,172.464,349,m1,0,0,172.45749999999998,172.45749999999998,172.4495,172.4635,172.43736718122844,172.42526658714777,BULL,0,0
97,202508120401,172.435,172.429,172.434,172.42999999999998,130,m1,0,0,172.45749999999998,172.45749999999998,172.4495,172.4635,172.43723246335264,172.42550258989607,BULL,0,0
98,202508120402,172.435,172.414,172.415,172.434,141,m1,1,0,172.45850000000002,172.45749999999998,172.4495,172.4635,172.43634366777889,172.42521943892868,BULL,1,1
99,202508120403,172.423,172.414,172.42,172.415,157,m1,0,0,172.45850000000002,172.45850000000002,172.4495,172.4635,172.4356907880996,172.4250790408151,BULL,0,0
100,202508120404,172.464,172.42,172.464,172.42,222,m1,0,0,172.459,172.45850000000002,172.45049999999998,172.464,172.4368208284139,172.42612367261353,BULL,0,0
101,202508120405,172.46699999999998,172.45399999999998,172.459,172.464,290,m1,0,0,172.459,172.459,172.451,172.464,172.43770555011326,172.4270041758087,BULL,0,0
102,202508120406,172.46699999999998,172.451,172.462,172.459,221,m1,0,0,172.45850000000002,172.459,172.45049999999998,172.464,172.438673996945,172.42793948830212,BULL,0,0
103,202508120407,172.462,172.447,172.44899999999998,172.462,179,m1,0,0,172.45749999999998,172.45850000000002,172.4495,172.4635,172.43908535497454,172.428501216878,BULL,0,0
104,202508120408,172.457,172.447,172.44799999999998,172.44899999999998,195,m1,0,0,172.45549999999997,172.45749999999998,172.44899999999998,172.4635,172.43944026804303,172.42902026272768,BULL,0,0
105,202508120409,172.459,172.447,172.458,172.44799999999998,196,m1,0,0,172.45399999999998,172.45549999999997,172.44849999999997,172.463,172.44017873417275,172.42979020138836,BULL,0,0
106,202508120410,172.482,172.458,172.481,172.458,203,m1,0,1,172.45399999999998,172.45399999999998,172.44799999999998,172.463,172.44180202598406,172.4311482034368,BULL,0,0
107,202508120411,172.481,172.457,172.462,172.481,196,m1,0,0,172.45399999999998,172.45399999999998,172.44799999999998,172.463,172.44260477369824,172.43196485174133,BULL,0,0
108,202508120412,172.474,172.457,172.46599999999998,172.462,196,m1,0,0,172.45399999999998,172.45399999999998,172.44799999999998,172.463,172.44353410196692,172.4328641639034,BULL,0,0
109,202508120413,172.469,172.459,172.464,172.46599999999998,256,m1,0,0,172.45549999999997,172.45399999999998,172.44849999999997,172.463,172.44434665635768,172.43368544521763,BULL,0,0
110,202508120414,172.46599999999998,172.456,172.459,172.464,129,m1,0,0,172.45749999999998,172.45549999999997,172.44899999999998,172.4635,172.44492815251732,172.43435205256506,BULL,0,0
111,202508120415,172.469,172.458,172.46099999999998,172.459,126,m1,0,0,172.45850000000002,172.45749999999998,172.4495,172.464,172.44556564165845,172.43505262203635,BULL,0,0
112,202508120416,172.463,172.446,172.447,172.46099999999998,154,m1,0,0,172.459,172.45850000000002,172.45049999999998,172.4645,172.44562250987133,172.43536621506803,BULL,0,0
113,202508120417,172.44899999999998,172.435,172.439,172.447,145,m1,1,0,172.4595,172.459,172.451,172.465,172.44536005949996,172.43546144589777,BULL,1,1
114,202508120418,172.451,172.43699999999998,172.44899999999998,172.439,174,m1,0,0,172.46049999999997,172.4595,172.451,172.4655,172.44550425076264,172.43581571466777,BULL,0,0
115,202508120419,172.462,172.44899999999998,172.45999999999998,172.44899999999998,88,m1,0,0,172.46099999999998,172.46049999999997,172.452,172.4665,172.44607825161435,172.4364476218306,BULL,0,0
