,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,peaks_min,peaks_max,bidclose_median,bidopen_median,min_low_median,max_high_median,ema50,ema80,trend,signal,valid_signal
0,202508120224,1.1625699999999999,1.16227,1.16227,1.1624,191,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.16227,1.16227,BEAR,0,0
1,202508120225,1.16232,1.16212,1.16212,1.16227,92,m1,1,0,1.162225,1.16223,1.16217,1.16228,1.1621934999999999,1.1621940625,BULL,1,1
2,202508120226,1.16222,1.16212,1.16218,1.16212,120,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.1621888188241567,1.1621892573303472,BULL,0,0
3,202508120227,1.16222,1.16217,1.16222,1.16218,56,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.162197087944822,1.162197233581667,BULL,0,0
4,202508120228,1.16228,1.16222,1.16225,1.16222,70,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.162208533530023,1.1622083210410403,BULL,0,0
5,202508120229,1.16227,1.16214,1.16214,1.16225,78,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.1621959392319565,1.1621962108153305,BULL,0,0
6,202508120230,1.16217,1.16211,1.16215,1.16214,74,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.1621885632679108,1.162189103974471,BULL,0,0
7,202508120231,1.16233,1.16214,1.16232,1.16215,57,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.1622073829879096,1.1622069329698363,BULL,0,0
8,202508120232,1.16238,1.16232,1.16234,1.16232,92,m1,0,1,1.162225,1.16223,1.16217,1.16228,1.1622245833974358,1.1622232392604046,BULL,0,0
9,202508120233,1.1624,1.16232,1.16233,1.16234,137,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.162237121424178,1.1622351558794068,BEAR,0,0
10,202508120234,1.16233,1.16222,1.16225,1.16233,119,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.1622385400765518,1.1622366802654946,BEAR,0,0
11,202508120235,1.16227,1.16222,1.16226,1.16225,119,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.1622407474257948,1.1622389017572932,BEAR,0,0
12,202508120236,1.16234,1.16221,1.16233,1.16226,133,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.1622493785539143,1.1622470079263387,BEAR,0,0
13,202508120237,1.16234,1.16221,1.16221,1.16233,84,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.1622457774903923,1.1622439137869665,BEAR,0,0
14,202508120238,1.16223,1.16221,1.16223,1.16221,15,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.1622444063005548,1.1622428152139912,BEAR,0,0
15,202508120239,1.16223,1.1621299999999999,1.1621299999999999,1.16223,127,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.1622349160898697,1.1622343662840315,BEAR,0,0
16,202508120240,1.16217,1.1621299999999999,1.16217,1.1621299999999999,38,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.1622297568283078,1.1622297762036031,FLAT,0,0
17,202508120241,1.16217,1.1621,1.16212,1.16217,97,m1,1,0,1.162225,1.16223,1.16217,1.16228,1.1622213714092107,1.1622222965614348,BULL,1,1
18,202508120242,1.16222,1.16212,1.16219,1.16212,77,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.1622190605615172,1.1622201876431646,BULL,0,0
19,202508120243,1.16221,1.16217,1.16217,1.16219,28,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.1622155670490686,1.1622170383474213,BULL,0,0
20,202508120244,1.16218,1.16212,1.16218,1.16217,51,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.1622131128991826,1.162214799388213,BULL,0,0
21,202508120245,1.16219,1.16214,1.16215,1.16218,58,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.1622088840243667,1.1622110175145142,BULL,0,0
22,202508120246,1.16218,1.16212,1.16214,1.16215,180,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.1622043932509214,1.1622070077481699,BULL,0,0
23,202508120247,1.16217,1.16209,1.16212,1.16214,125,m1,1,0,1.162225,1.16223,1.16217,1.16228,1.162199030686936,1.1622022464157247,BULL,1,1
24,202508120248,1.16216,1.16212,1.1621299999999999,1.16212,62,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.162194748472661,1.1621984081390175,BULL,0,0
25,202508120249,1.16217,1.16211,1.16216,1.1621299999999999,78,m1,0,0,1.162225,1.16223,1.16217,1.16228,1.1621926409917867,1.162196424028413,BULL,0,0
26,202508120250,1.16228,1.1621299999999999,1.16227,1.16216,80,m1,0,0,1.16222,1.162225,1.16217,1.16228,1.162197234331254,1.1622001250535037,BULL,0,0
27,202508120251,1.16232,1.16226,1.16232,1.16227,137,m1,0,0,1.16222,1.16222,1.16217,1.162275,1.1622043797184636,1.1622060044384164,BULL,0,0
28,202508120252,1.16238,1.16232,1.16237,1.16232,65,m1,0,1,1.16222,1.16222,1.16217,1.162275,1.162213839767289,1.1622138565276756,BULL,0,0
29,202508120253,1.16237,1.16232,1.16234,1.16237,144,m1,0,0,1.16222,1.16222,1.162165,1.162275,1.1622209191575468,1.1622197593845307,FLAT,0,0
30,202508120254,1.1624,1.16233,1.16235,1.16234,66,m1,0,0,1.162215,1.16222,1.16216,1.16227,1.1622280420685505,1.1622257221683585,BEAR,0,0
31,202508120255,1.16235,1.16226,1.16227,1.16235,88,m1,0,0,1.162215,1.162215,1.16216,1.16227,1.1622303209964255,1.1622277074600316,BEAR,0,0
32,202508120256,1.16227,1.16217,1.16218,1.16227,206,m1,0,0,1.162215,1.162215,1.16216,1.162275,1.1622276284860558,1.162225610635784,BEAR,0,0
33,202508120257,1.16224,1.1621299999999999,1.16219,1.16218,224,m1,0,0,1.162205,1.162215,1.16216,1.16227,1.162225643477785,1.1622240750632578,BEAR,0,0
34,202508120258,1.16222,1.16217,1.16222,1.16219,98,m1,0,0,1.1622,1.162205,1.162155,1.1622599999999998,1.1622253497447885,1.1622239025216448,BEAR,0,0
35,202508120259,1.16231,1.16222,1.16229,1.16222,136,m1,0,0,1.162195,1.1622,1.162145,1.162245,1.1622286720422528,1.1622266526069995,BEAR,0,0
36,202508120300,1.16245,1.16228,1.16234,1.16229,199,m1,0,1,1.16219,1.162195,1.16214,1.16224,1.1622343242449344,1.1622312901516036,BEAR,-1,-1
37,202508120301,1.16234,1.16202,1.16203,1.16234,215,m1,1,0,1.16219,1.16219,1.162135,1.162235,1.1622240690513344,1.1622231859537027,BEAR,0,0
38,202508120302,1.16222,1.16197,1.1622,1.16203,134,m1,0,0,1.162185,1.16219,1.1621299999999999,1.16223,1.1622228741213012,1.1622222667692967,BEAR,0,0
39,202508120303,1.16231,1.1622,1.1622999999999999,1.1622,103,m1,0,0,1.16218,1.162185,1.1621299999999999,1.162225,1.1622266635810545,1.1622253030268952,BEAR,0,0
40,202508120304,1.1622999999999999,1.16216,1.16223,1.1622999999999999,61,m1,0,0,1.16218,1.16218,1.1621299999999999,1.16222,1.1622268259009467,1.1622254838917434,BEAR,0,0
41,202508120305,1.16224,1.16218,1.16219,1.16223,36,m1,0,0,1.16218,1.16218,1.1621299999999999,1.16222,1.1622250510328507,1.1622241361443852,BEAR,0,0
42,202508120306,1.16228,1.16216,1.16225,1.16219,98,m1,0,0,1.16218,1.16218,1.162125,1.16222,1.1622262427755472,1.162225105619132,BEAR,0,0
