,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema30,ema50,ema100,buy,sell
0,202507012000,1.17976,1.17908,1.17958,1.1791099999999999,1452,m15,1,,,1.17958,1.17958,1.17958,0,0
1,202507012015,1.18021,1.17938,1.18019,1.17958,883,m15,1,,,1.1798951666666666,1.1798911,1.17988805,0,0
2,202507012030,1.18057,1.17993,1.18043,1.18019,1129,m15,1,,,1.1800854572380601,1.1800779656045863,1.1800723249225027,0,0
3,202507012045,1.18066,1.18025,1.18062,1.18043,1628,m15,1,,1.0,1.1802327432482427,1.1802217109156339,1.180213378362164,0,0
4,202507012100,1.18062,1.17981,1.18001,1.18062,129,m15,1,,,1.1801820637664295,1.1801759150130804,1.1801710595581665,0,0
5,202507012115,1.18008,1.1798899999999999,1.18003,1.18001,60,m15,1,,,1.180152314885905,1.1801491004426576,1.1801463586231757,0,0
6,202507012130,1.18025,1.1798899999999999,1.18022,1.18003,449,m15,1,,,1.1801640214673392,1.1801604840153368,1.180157520442705,0,0
7,202507012145,1.18034,1.18018,1.18026,1.18022,401,m15,1,,,1.180178997565931,1.1801747331748906,1.1801712448292043,0,0
8,202507012200,1.18063,1.18024,1.18059,1.18026,392,m15,1,,,1.180237751555791,1.1802285932290568,1.1802215813796781,0,0
9,202507012215,1.18063,1.18021,1.18045,1.18059,554,m15,1,,,1.180265886288803,1.1802549268799944,1.180246533239264,0,0
10,202507012230,1.18062,1.18041,1.18058,1.18045,431,m15,1,,,1.1803048713166242,1.180290735633983,1.1802799698668236,0,0
11,202507012245,1.18063,1.18023,1.18028,1.18058,355,m15,1,,,1.1803019581199612,1.1802896313759177,1.1802799726632476,0,0
12,202507012300,1.18045,1.17997,1.18032,1.18028,800,m15,1,,,1.1803039657487224,1.1802925681593954,1.1802834345670885,0,0
13,202507012315,1.18039,1.17992,1.18025,1.18032,571,m15,1,,,1.1802982289085873,1.180288675414976,1.1802807236439274,0,0
14,202507012330,1.18052,1.18021,1.1804999999999999,1.18025,797,m15,1,,,1.1803188178341653,1.1803070412080263,1.1802974762951315,0,0
15,202507012345,1.1806699999999999,1.18034,1.18051,1.1804999999999999,920,m15,1,,,1.1803376206805645,1.1803238770089117,1.1803128433076018,0,0
16,202507020000,1.18057,1.18003,1.18021,1.18051,2873,m15,1,,,1.1803254799074252,1.1803148265365861,1.1803057779555437,0,0
17,202507020015,1.18041,1.17998,1.18004,1.18021,1801,m15,1,,,1.1802991284807787,1.1802938297956649,1.180288370175344,0,0
18,202507020030,1.18015,1.17991,1.18002,1.18004,1378,m15,1,,,1.180274059970593,1.1802736592337537,1.1802715607270913,0,0
19,202507020045,1.1808,1.18002,1.18074,1.18002,2167,m15,1,,,1.180314873679507,1.1803068665029313,1.1802996964193457,0,0
20,202507020100,1.18097,1.18037,1.18066,1.18074,1982,m15,1,,,1.1803444228494895,1.1803312329475553,1.1803204996467533,0,0
21,202507020115,1.1809,1.18057,1.18086,1.18066,1421,m15,1,,,1.1803876534846807,1.180366662942065,1.180350510840167,0,0
22,202507020130,1.18093,1.18048,1.18089,1.18086,1576,m15,1,,1.0,1.1804289758634168,1.1804007809858983,1.1803794834449068,0,0
23,202507020145,1.181,1.1792,1.17935,1.18089,2901,m15,1,1.0,,1.180341767988784,1.180334011662405,1.180326009170962,1,0
24,202507020200,1.17949,1.17882,1.17936,1.17935,2799,m15,1,,,1.1802636902437054,1.180273590321838,1.1802773944479026,0,0
25,202507020215,1.1798,1.1793,1.17979,1.17936,1770,m15,1,,,1.1802265758950152,1.1802442607635526,1.1802535926747986,0,0
26,202507020230,1.17999,1.1797,1.17979,1.17979,1115,m15,1,,,1.1801928363119947,1.1802172881595612,1.180231591994798,0,0
27,202507020245,1.18018,1.17973,1.18001,1.17979,1839,m15,1,,,1.1801788844159957,1.180205223270581,1.1802213589166086,0,0
28,202507020300,1.18029,1.17973,1.18016,1.18001,1472,m15,1,,1.0,1.1801774601762631,1.1802026401669674,1.1802185981948257,-1,1
29,202507020315,1.18025,1.17978,1.17984,1.18016,1173,m15,1,,,1.1801522838284635,1.1801822908761492,1.18020198249245,0,0
30,202507020330,1.18011,1.17979,1.17984,1.17984,1252,m15,1,,,1.180129218484151,1.1801634026553889,1.1801864696445203,0,0
31,202507020345,1.18005,1.17959,1.18002,1.17984,1355,m15,1,,,1.1801212262654823,1.1801556137988503,1.1801794963055563,0,0
32,202507020400,1.18011,1.1798899999999999,1.18002,1.18002,1017,m15,1,,,1.1801138824881525,1.1801483575522411,1.1801729594597004,0,0
33,202507020415,1.18004,1.17985,1.1798899999999999,1.18002,791,m15,1,,,1.1800977696484611,1.1801347284660944,1.1801616031156101,0,0
34,202507020430,1.18003,1.17956,1.1797,1.1798899999999999,1157,m15,1,,,1.1800693539457652,1.1801121016214626,1.1801434462254168,0,0
35,202507020445,1.17973,1.17957,1.17961,1.1797,804,m15,1,,,1.1800367643768894,1.1800862992338563,1.1801228654215508,0,0
36,202507020500,1.17982,1.17907,1.17927,1.17961,1699,m15,1,,,1.1799827126785225,1.1800448551185416,1.1800905676714935,0,0
37,202507020515,1.1792799999999999,1.17885,1.17924,1.17927,1324,m15,1,,,1.1799306675411796,1.1800044588108816,1.180058928582435,0,0
38,202507020530,1.17956,1.1792,1.17938,1.17924,1420,m15,1,,,1.1798922931444296,1.179973456982966,1.180034105865121,0,0
39,202507020545,1.17938,1.17846,1.17871,1.17938,2642,m15,1,,,1.1798103264656288,1.1799113789947742,1.1799864924155716,0,0
40,202507020600,1.17935,1.1787,1.17913,1.17871,2558,m15,1,,,1.1797633863089863,1.1798733641782135,1.179956183551426,0,0
41,202507020615,1.1793,1.17847,1.17861,1.17913,2548,m15,1,,,1.1796841616280738,1.1798124748390273,1.1799092769411526,0,0
