,Unnamed: 0,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema,ema_slow,sell,buy,TriggerSell,TriggerBuy,ZoneOperationType
0,0,202408251900,1.1189,1.11857,1.11858,1.1189,32,m30,1,,,1.11858,1.11858,0,0,0,0,NA
1,0,202408251920,1.1189,1.11859,1.1186200000000002,1.1189,9,m5,1,,,1.1186200000000002,1.1186200000000002,0,0,0,0,NA
2,1,202408251925,1.11863,1.11857,1.11858,1.1186200000000002,6,m5,1,1.0,,1.1185979999999998,1.1185996,-1,1,0,0,NA
3,1,202408251930,1.11916,1.11858,1.1186399999999999,1.11858,138,m30,1,,,1.1186129999999999,1.1186105999999998,0,0,0,0,NA
4,2,202408251930,1.11916,1.11858,1.11904,1.11858,11,m5,1,,,1.1187756810631226,1.118752310358619,0,1,0,0,NA
5,3,202408251935,1.11907,1.11903,1.11907,1.11904,7,m5,1,,,1.118872646039604,1.118836560355858,0,1,0,0,NA
6,4,202408251940,1.11907,1.11906,1.11907,1.11907,2,m5,1,,,1.1189293009940982,1.1188870564729958,0,1,0,0,NA
7,5,202408251945,1.11907,1.1186200000000002,1.11871,1.11907,14,m5,1,,,1.1188723409508758,1.1188545190858987,0,1,0,0,NA
8,6,202408251950,1.1189799999999999,1.11871,1.11889,1.11871,16,m5,1,,,1.1188765960723337,1.1188602158713166,0,1,0,0,NA
9,7,202408251955,1.11889,1.1186200000000002,1.1186399999999999,1.11889,19,m5,1,,,1.1188227693256567,1.1188286843430169,0,1,0,0,NA
10,8,202408252000,1.11866,1.11861,1.1186200000000002,1.1186399999999999,10,m5,1,,,1.1187786538161577,1.118801618010387,0,1,0,0,NA
11,2,202408252000,1.11879,1.1185200000000002,1.1186200000000002,1.1186399999999999,86,m30,1,,,1.1186158139534883,1.1186138594854018,0,0,0,0,NA
12,9,202408252005,1.1186399999999999,1.11855,1.11857,1.1186200000000002,11,m5,1,,,1.1187348247957247,1.1187740698563244,0,1,0,0,NA
13,10,202408252010,1.11857,1.11855,1.11857,1.11857,5,m5,1,,,1.1187011531505882,1.1187515903376195,0,1,0,0,NA
14,11,202408252015,1.11857,1.11855,1.11855,1.11857,4,m5,1,1.0,,1.1186709530277417,1.1187308549291175,-1,1,0,0,NA
15,12,202408252020,1.11879,1.1185200000000002,1.11863,1.11855,12,m5,1,,,1.1186629152076597,1.1187211018007353,0,1,0,0,NA
16,13,202408252025,1.11863,1.1186200000000002,1.1186200000000002,1.11863,1,m5,1,,,1.1186546122584882,1.1187118563112377,0,1,0,0,NA
17,3,202408252030,1.11869,1.1186200000000002,1.11867,1.1186200000000002,46,m30,1,,,1.1186336658415843,1.1186287477209116,0,0,0,0,NA
18,14,202408252030,1.11865,1.1186200000000002,1.11865,1.1186200000000002,3,m5,1,,,1.1186537301900281,1.118706480504107,0,1,0,0,NA
19,15,202408252040,1.11869,1.1186399999999999,1.11869,1.11865,9,m5,1,,,1.1186606018137126,1.1187051134163206,0,1,0,0,NA
20,16,202408252045,1.11869,1.1186399999999999,1.11869,1.11869,5,m5,1,,,1.118666129318027,1.1187039122646794,0,1,0,0,NA
21,17,202408252050,1.11869,1.11865,1.11866,1.11869,4,m5,1,,,1.1186649839771283,1.1187005573686923,0,1,0,0,NA
22,18,202408252055,1.11867,1.11865,1.11867,1.11866,2,m5,1,,,1.118665916580161,1.1186983064839942,0,1,0,0,NA
23,4,202408252100,1.11944,1.11863,1.11895,1.11867,1158,m30,1,,,1.1187244767749651,1.118698238885428,0,0,0,0,NA
24,19,202408252100,1.11867,1.1186399999999999,1.1186399999999999,1.11867,6,m5,1,1.0,,1.1186611177522017,1.1186941545863924,-1,1,0,0,NA
25,20,202408252105,1.11894,1.11863,1.11887,1.1186399999999999,65,m5,1,,,1.118699666316011,1.1187062880361178,0,1,0,0,NA
26,21,202408252110,1.11909,1.11875,1.11891,1.11887,84,m5,1,,,1.1187383771083623,1.1187199377401391,0,1,0,0,NA
27,22,202408252115,1.11899,1.11889,1.1189,1.11891,46,m5,1,,,1.1187680568578116,1.118731676584124,0,1,0,0,NA
