,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,peaks_min,peaks_max,bidclose_median,bidopen_median,min_low_median,max_high_median,ema50,ema80,trend,signal,valid_signal
0,202508120224,0.81107,0.81091,0.8110499999999999,0.8109999999999999,131,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8110499999999999,0.8110499999999999,BEAR,0,0
1,202508120225,0.81114,0.81101,0.81114,0.8110499999999999,207,m1,0,1,0.81096,0.81096,0.81091,0.8109999999999999,0.8110958999999999,0.8110955625,BEAR,-1,-1
2,202508120226,0.81115,0.81096,0.81097,0.81114,127,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8110522437008398,0.8110526576740795,BEAR,0,0
3,202508120227,0.81101,0.81093,0.81097,0.81097,110,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8110304330067971,0.8110312119639511,BEAR,0,0
4,202508120228,0.81098,0.81086,0.81087,0.81097,125,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109957292017351,0.8109973375575146,BEAR,0,0
5,202508120229,0.81099,0.81087,0.81096,0.81087,77,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109891633030256,0.8109907192999168,BEAR,0,0
6,202508120230,0.81102,0.81094,0.81099,0.81096,127,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109892976423809,0.8109906086775441,BEAR,0,0
7,202508120231,0.8109999999999999,0.81084,0.81087,0.81099,192,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.810972216053464,0.8109741808941621,BEAR,0,0
8,202508120232,0.8108799999999999,0.81084,0.8108799999999999,0.81087,109,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109602556431104,0.8109626397857125,BEAR,0,0
9,202508120233,0.8108799999999999,0.8108,0.8108299999999999,0.8108799999999999,213,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109447633136585,0.8109478345511586,BULL,0,0
10,202508120234,0.81092,0.81081,0.81091,0.8108299999999999,170,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109409339261452,0.8109439492106253,BULL,0,0
11,202508120235,0.81092,0.8109,0.81091,0.81091,67,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109377520891446,0.8109407151303679,BULL,0,0
12,202508120236,0.81095,0.8108299999999999,0.8108299999999999,0.81091,129,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109273319741526,0.8109308633973816,BULL,0,0
13,202508120237,0.81096,0.8108299999999999,0.81096,0.8108299999999999,81,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109303193778157,0.8109332994352322,BULL,0,0
14,202508120238,0.81098,0.81095,0.81096,0.81096,138,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109328988607688,0.8109354075973702,BULL,0,0
15,202508120239,0.8110499999999999,0.81094,0.81102,0.81096,118,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109401240586659,0.8109417428713075,BULL,0,0
16,202508120240,0.81103,0.81098,0.81102,0.81102,147,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109464722671712,0.81094732353392,BULL,0,0
17,202508120241,0.81107,0.81101,0.8110499999999999,0.81102,79,m1,0,1,0.81096,0.81096,0.81091,0.8109999999999999,0.8109543817835205,0.8109543194328505,BULL,0,0
18,202508120242,0.8110499999999999,0.81101,0.81102,0.8110499999999999,74,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109592152834498,0.8109586082779132,BULL,0,0
19,202508120243,0.81103,0.81101,0.81102,0.81102,91,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109635436514383,0.8109624606343269,BEAR,0,0
20,202508120244,0.81104,0.8109999999999999,0.81101,0.81102,143,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109667491701842,0.810965334377567,BEAR,0,0
21,202508120245,0.81102,0.8109999999999999,0.81102,0.81101,63,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109703172378224,0.8109685248163259,BEAR,0,0
22,202508120246,0.81104,0.81098,0.81102,0.81102,67,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109735562185749,0.8109714311903446,BEAR,0,0
23,202508120247,0.81103,0.81099,0.8109999999999999,0.81102,47,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109752365243856,0.810972994563759,BEAR,0,0
24,202508120248,0.81102,0.81099,0.81102,0.8109999999999999,47,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109780133589034,0.8109754918484924,BEAR,0,0
25,202508120249,0.81104,0.81095,0.81095,0.81102,69,m1,0,0,0.81096,0.81096,0.81091,0.8109999999999999,0.8109763143599664,0.8109741749753447,BEAR,0,0
26,202508120250,0.81098,0.81086,0.81087,0.81095,124,m1,0,0,0.810955,0.81096,0.81091,0.8109999999999999,0.8109700017409598,0.8109689347564354,BEAR,0,0
27,202508120251,0.81091,0.81086,0.81091,0.81087,58,m1,0,0,0.810945,0.810955,0.810905,0.8109999999999999,0.8109665094317762,0.8109660442432135,BEAR,0,0
28,202508120252,0.81091,0.81085,0.81086,0.81091,46,m1,1,0,0.8109299999999999,0.810945,0.8108949999999999,0.8109949999999999,0.8109604257298549,0.8109609668566362,BEAR,0,0
29,202508120253,0.81091,0.81086,0.8108799999999999,0.81086,73,m1,0,0,0.8109299999999999,0.8109299999999999,0.8108949999999999,0.8109850000000001,0.8109559126981636,0.8109571780298668,BEAR,0,0
30,202508120254,0.81094,0.81086,0.81092,0.8108799999999999,65,m1,0,0,0.810945,0.8109299999999999,0.8109,0.8109949999999999,0.8109539309714561,0.8109554759144825,BEAR,0,0
31,202508120255,0.81101,0.81092,0.81101,0.81092,79,m1,0,0,0.810945,0.810945,0.810905,0.8109999999999999,0.8109569763377947,0.8109579206189531,BEAR,0,0
32,202508120256,0.8110499999999999,0.8109999999999999,0.8110499999999999,0.81101,59,m1,0,1,0.810945,0.810945,0.810905,0.8109999999999999,0.8109619537268153,0.8109619676648185,BEAR,-1,-1
33,202508120257,0.81108,0.81096,0.81099,0.8110499999999999,73,m1,0,0,0.810955,0.810945,0.81091,0.8109999999999999,0.8109634332464579,0.8109631764521036,BEAR,0,0
34,202508120258,0.81101,0.81098,0.81099,0.81099,65,m1,0,0,0.81096,0.810955,0.81091,0.811005,0.8109648159988002,0.8109643121837301,BEAR,0,0
35,202508120259,0.8109999999999999,0.81096,0.81096,0.81099,52,m1,0,0,0.81096,0.81096,0.81091,0.81101,0.8109645685105181,0.8109641327688173,BEAR,0,0
36,202508120300,0.81096,0.81084,0.81091,0.81096,103,m1,0,0,0.81096,0.81096,0.810915,0.81101,0.8109617980269151,0.8109619179571372,BEAR,0,0
37,202508120301,0.81103,0.8108799999999999,0.81092,0.81091,222,m1,0,0,0.81097,0.81096,0.81092,0.811015,0.8109597001512652,0.810960230286789,FLAT,0,0
38,202508120302,0.81096,0.8108799999999999,0.8109,0.81092,116,m1,0,0,0.81098,0.81097,0.8109299999999999,0.81102,0.810956736282738,0.8109578425161115,BULL,0,0
39,202508120303,0.8109,0.81082,0.81082,0.8109,108,m1,1,0,0.8109850000000001,0.81098,0.81094,0.811025,0.810950017958759,0.8109524583916753,BULL,1,1
40,202508120304,0.81093,0.81082,0.81092,0.81082,80,m1,0,0,0.81099,0.8109850000000001,0.81094,0.81103,0.8109485575570801,0.8109512085267192,BULL,0,0
41,202508120305,0.81095,0.81089,0.81094,0.81092,113,m1,0,0,0.81099,0.81099,0.810945,0.81103,0.8109481451154383,0.8109507828050315,BULL,0,0
42,202508120306,0.81095,0.8108799999999999,0.81092,0.81094,178,m1,0,0,0.81099,0.81099,0.810945,0.81103,0.8109468007016369,0.8109496289495293,BULL,0,0
43,202508120307,0.81103,0.81091,0.81099,0.81092,148,m1,0,1,0.81099,0.81099,0.810945,0.81103,0.8109488467152959,0.8109511230948742,BULL,0,0
44,202508120308,0.81104,0.81098,0.81098,0.81099,143,m1,0,0,0.81099,0.81099,0.810945,0.81103,0.810950310280341,0.810952178832675,BULL,0,0
45,202508120309,0.81104,0.81078,0.81079,0.81098,154,m1,1,0,0.81099,0.81099,0.810945,0.81103,0.8109428370080233,0.810946319131268,BULL,1,1
46,202508120310,0.81087,0.81074,0.81084,0.81079,144,m1,0,0,0.81099,0.81099,0.810945,0.81103,0.8109380782226578,0.8109425211508909,BULL,0,0
47,202508120311,0.81093,0.8108299999999999,0.81092,0.81084,108,m1,0,0,0.81099,0.81099,0.810945,0.81103,0.8109372475166459,0.8109417254179005,BULL,0,0
48,202508120312,0.81094,0.81092,0.81092,0.81092,117,m1,0,0,0.81099,0.81099,0.810945,0.81103,0.8109364602840916,0.8109409658827729,BULL,0,0
49,202508120313,0.8109999999999999,0.81091,0.81098,0.81092,115,m1,0,0,0.81099,0.81099,0.810945,0.811035,0.8109384348859653,0.810942316669943,BULL,0,0
50,202508120314,0.81104,0.81091,0.81091,0.81098,145,m1,0,0,0.81099,0.81099,0.810945,0.81104,0.8109371531790338,0.8109412093202188,BULL,0,0
51,202508120315,0.81091,0.81086,0.81091,0.81091,85,m1,0,0,0.81099,0.81099,0.8109500000000001,0.81104,0.8109359363750692,0.810940150056124,BULL,0,0
52,202508120316,0.81095,0.81089,0.8109,0.81091,88,m1,1,0,0.8109999999999999,0.81099,0.81096,0.81104,0.8109343349365224,0.8109387998264359,BULL,1,1
53,202508120317,0.81098,0.8109,0.81096,0.8109,115,m1,0,0,0.81101,0.8109999999999999,0.81097,0.811045,0.8109354725694687,0.8109395064633745,BULL,0,0
54,202508120318,0.81101,0.81094,0.81101,0.81096,85,m1,0,0,0.811015,0.81101,0.81098,0.8110499999999999,0.8109387592854825,0.8109418360019289,BULL,0,0
55,202508120319,0.8110499999999999,0.8109999999999999,0.8110499999999999,0.81101,46,m1,0,0,0.8110299999999999,0.811015,0.81099,0.8110499999999999,0.8109436412363984,0.8109453807875634,BULL,0,0
56,202508120320,0.8110499999999999,0.81091,0.81102,0.8110499999999999,86,m1,0,0,0.811045,0.8110299999999999,0.8109999999999999,0.8110499999999999,0.8109469767659888,0.810947806629454,BULL,0,0
57,202508120321,0.8110499999999999,0.81101,0.81104,0.81102,53,m1,0,0,0.811045,0.811045,0.811005,0.811055,0.8109510221692452,0.8109507805495911,BULL,0,0
58,202508120322,0.81111,0.81104,0.81109,0.81104,137,m1,0,0,0.81104,0.811045,0.811015,0.81106,0.8109570403383007,0.8109552376866983,BULL,0,0
59,202508120323,0.81112,0.81109,0.81112,0.81109,123,m1,0,0,0.81104,0.81104,0.811015,0.811055,0.8109640682686952,0.8109604742318302,BULL,0,0
60,202508120324,0.81114,0.81109,0.8111,0.81112,87,m1,0,0,0.81104,0.81104,0.811015,0.811055,0.8109699077318028,0.8109648774748003,BULL,0,0
61,202508120325,0.81115,0.81109,0.8111,0.8111,102,m1,0,0,0.811045,0.81104,0.811015,0.81106,0.8109754754978807,0.8109691126731415,BULL,0,0
62,202508120326,0.81114,0.8111,0.81114,0.8111,90,m1,0,0,0.811045,0.811045,0.81102,0.8110649999999999,0.8109824917764609,0.8109744334675903,BULL,0,0
63,202508120327,0.81116,0.81114,0.81114,0.81114,59,m1,0,0,0.8110499999999999,0.811045,0.81102,0.8110649999999999,0.8109891858787321,0.8109795555807476,BULL,0,0
