,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,peaks_min,peaks_max,bidclose_median,bidopen_median,min_low_median,max_high_median,ema50,ema80,trend,signal,valid_signal
0,202508120224,148.31799999999998,148.292,148.31699999999998,148.30599999999998,192,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.31699999999998,148.31699999999998,BEAR,0,0
1,202508120225,148.328,148.30499999999998,148.325,148.31699999999998,166,m1,0,1,148.308,148.3075,148.29899999999998,148.31799999999998,148.32107999999997,148.32104999999999,BEAR,-1,-1
2,202508120226,148.325,148.296,148.30599999999998,148.325,178,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.31585095320622,148.3159074006562,BEAR,0,0
3,202508120227,148.307,148.296,148.296,148.30599999999998,96,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.31058656137546,148.31074238302608,BEAR,0,0
4,202508120228,148.29899999999998,148.283,148.286,148.296,112,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.30526815931995,148.3055434293114,BULL,0,0
5,202508120229,148.29899999999998,148.28199999999998,148.295,148.286,154,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.30338119597477,148.30367455690003,BULL,0,0
6,202508120230,148.307,148.286,148.29899999999998,148.295,169,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.302677754872,148.30295564874532,BULL,0,0
7,202508120231,148.302,148.272,148.273,148.29899999999998,135,m1,1,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.2984283564884,148.29887547044737,BULL,1,1
8,202508120232,148.285,148.26299999999998,148.283,148.273,112,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.2964273006228,148.29693005967425,BULL,0,0
9,202508120233,148.284,148.26399999999998,148.274,148.283,152,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.29375984513553,148.29437060958173,BULL,0,0
10,202508120234,148.29299999999998,148.274,148.28699999999998,148.274,142,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.29301520764767,148.293613700162,BULL,0,0
11,202508120235,148.295,148.285,148.295,148.28699999999998,120,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.29321936167958,148.29374576228818,BULL,0,0
12,202508120236,148.30499999999998,148.27599999999998,148.277,148.295,155,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.29165087595334,148.29225567888074,BULL,0,0
13,202508120237,148.308,148.277,148.308,148.277,69,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.29314595965675,148.29357202185597,BULL,0,0
14,202508120238,148.31,148.307,148.308,148.308,22,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.2944368943148,148.29471119316247,BULL,0,0
15,202508120239,148.32299999999998,148.308,148.32,148.308,76,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.29655740041923,148.29660511642135,BULL,0,0
16,202508120240,148.321,148.316,148.319,148.32,66,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.2983410451458,148.29820213756932,BULL,0,0
17,202508120241,148.328,148.313,148.32399999999998,148.319,117,m1,0,1,148.308,148.3075,148.29899999999998,148.31799999999998,148.30030138869222,148.2999598844521,BULL,0,0
18,202508120242,148.32399999999998,148.314,148.31699999999998,148.32399999999998,75,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.30153142420534,148.30107257909845,BULL,0,0
19,202508120243,148.319,148.316,148.31799999999998,148.31699999999998,35,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.3027041212307,148.30213478188836,BULL,0,0
20,202508120244,148.322,148.31099999999998,148.316,148.31799999999998,56,m1,1,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.30362154565077,148.30297293099397,BULL,1,1
21,202508120245,148.32,148.316,148.32,148.316,26,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.30471898268848,148.3039666784076,BULL,0,0
22,202508120246,148.321,148.319,148.32,148.32,20,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.3057152018756,148.30487194626653,BULL,0,0
23,202508120247,148.337,148.32,148.328,148.32,77,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.30713123520218,148.30613758472927,BULL,0,0
24,202508120248,148.339,148.327,148.339,148.328,45,m1,0,1,148.308,148.3075,148.29899999999998,148.31799999999998,148.30910816583412,148.30788348508722,FLAT,0,0
25,202508120249,148.339,148.326,148.328,148.339,127,m1,0,0,148.308,148.3075,148.29899999999998,148.31799999999998,148.31025394796885,148.3089226760396,BEAR,0,0
26,202508120250,148.331,148.31,148.31699999999998,148.328,157,m1,0,0,148.3075,148.308,148.29949999999997,148.31799999999998,148.31065450774543,148.30932898231052,BEAR,0,0
27,202508120251,148.321,148.308,148.31099999999998,148.31699999999998,107,m1,0,0,148.307,148.3075,148.29899999999998,148.3175,148.3106746165915,148.30941093902024,BEAR,0,0
28,202508120252,148.31099999999998,148.302,148.307,148.31099999999998,79,m1,0,0,148.3075,148.307,148.29949999999997,148.31699999999998,148.31046472652218,148.30929550352792,BEAR,0,0
29,202508120253,148.316,148.304,148.307,148.307,88,m1,0,0,148.308,148.3075,148.301,148.3175,148.31027030589803,148.30918808593043,BEAR,0,0
30,202508120254,148.307,148.28799999999998,148.29899999999998,148.307,136,m1,0,0,148.308,148.308,148.3025,148.31799999999998,148.3096483903266,148.30872164653437,BEAR,0,0
31,202508120255,148.32299999999998,148.29899999999998,148.32299999999998,148.29899999999998,79,m1,0,0,148.309,148.308,148.30349999999999,148.31799999999998,148.31037357754175,148.30936184717632,BEAR,0,0
32,202508120256,148.328,148.31699999999998,148.328,148.32299999999998,126,m1,0,1,148.31,148.309,148.304,148.31849999999997,148.31131670920885,148.31018102578574,BEAR,-1,-1
33,202508120257,148.338,148.31699999999998,148.31799999999998,148.328,127,m1,0,0,148.3105,148.31,148.3045,148.319,148.31166927155954,148.31051818915626,BEAR,0,0
34,202508120258,148.31799999999998,148.304,148.308,148.31799999999998,89,m1,0,0,148.31349999999998,148.3105,148.3055,148.3195,148.31147829249107,148.3104115669049,FLAT,0,0
35,202508120259,148.308,148.29299999999998,148.296,148.308,134,m1,0,0,148.3165,148.31349999999998,148.30599999999998,148.32,148.31068288198995,148.3098119519109,BULL,0,0
36,202508120300,148.296,148.267,148.295,148.296,156,m1,1,0,148.31699999999998,148.3165,148.30649999999997,148.32049999999998,148.3098866504823,148.30920592925926,BULL,1,1
37,202508120301,148.313,148.295,148.307,148.295,120,m1,0,0,148.31699999999998,148.31699999999998,148.3075,148.321,148.3097417672377,148.30911711573745,BULL,0,0
38,202508120302,148.31699999999998,148.29899999999998,148.30599999999998,148.307,142,m1,0,0,148.31699999999998,148.31699999999998,148.308,148.321,148.30955600378624,148.30899354073966,BULL,0,0
39,202508120303,148.307,148.295,148.303,148.30599999999998,68,m1,0,0,148.3175,148.31699999999998,148.30849999999998,148.32150000000001,148.30923388476586,148.30875943322286,BULL,0,0
40,202508120304,148.325,148.303,148.31,148.303,102,m1,0,0,148.31799999999998,148.3175,148.3095,148.322,148.30927115698623,148.30880720333283,BULL,0,0
41,202508120305,148.31799999999998,148.30499999999998,148.31699999999998,148.31,91,m1,0,1,148.31799999999998,148.31799999999998,148.3105,148.322,148.3096436577678,148.3091183817161,BULL,0,0
42,202508120306,148.31799999999998,148.291,148.296,148.31699999999998,143,m1,0,0,148.31799999999998,148.31799999999998,148.3105,148.3225,148.3089919382236,148.3086266553478,BULL,0,0
43,202508120307,148.304,148.289,148.291,148.296,130,m1,0,0,148.31799999999998,148.31799999999998,148.3105,148.3225,148.30813980050954,148.30797428725916,BULL,0,0
44,202508120308,148.295,148.283,148.284,148.291,135,m1,1,0,148.31799999999998,148.31799999999998,148.3105,148.3225,148.30700572528906,148.30709778885333,BULL,1,1
45,202508120309,148.302,148.278,148.28799999999998,148.284,128,m1,0,0,148.31799999999998,148.31799999999998,148.3105,148.32399999999998,148.30611972496283,148.30640776452418,BULL,0,0
