,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,ema_200,ema_100,ema_80,peaks_min,peaks_max,median_max,median_min,channel_width_pips,channel_breakout_up,channel_breakout_down,signal,valid_signal
0,202509261309,1.39356,1.39335,1.39356,1.39347,315,m1,1.39356,1.39356,1.39356,0,0,1.39356,1.39356,0.0,0,0,0,0
1,202509261310,1.39357,1.39345,1.39355,1.39356,277,m1,1.3935599004975123,1.3935598019801978,1.3935597530864197,0,0,1.3935599004975123,1.3935597530864197,0.0,0,1,-1,-1
2,202509261311,1.39386,1.39354,1.39385,1.39355,276,m1,1.3935627870597262,1.3935655484756395,1.3935669196768785,0,0,1.3935627870597262,1.3935669196768785,0.0,1,0,1,1
3,202509261312,1.39395,1.39383,1.39386,1.39385,310,m1,1.3935657444024154,1.3935713791988942,1.3935741562280668,0,0,1.3935657444024154,1.3935741562280668,0.1,1,0,1,1
4,202509261313,1.39405,1.39381,1.39386,1.39386,401,m1,1.3935686723188092,1.3935770944622823,1.3935812140989787,0,0,1.3935686723188092,1.3935812140989787,0.1,1,0,1,1
5,202509261314,1.39391,1.39383,1.39384,1.39386,314,m1,1.3935713720967315,1.393582300512534,1.3935876038743127,0,0,1.3935713720967315,1.3935876038743127,0.2,1,0,1,1
6,202509261315,1.39386,1.39364,1.3937,1.39384,261,m1,1.393572651976366,1.3935846311954543,1.3935903790872928,0,0,1.393572651976366,1.3935903790872928,0.2,1,0,1,1
7,202509261316,1.39372,1.39352,1.39363,1.3937,317,m1,1.393573222603467,1.3935855295876236,1.3935913573814338,0,0,1.393573222603467,1.3935913573814338,0.2,1,0,1,1
8,202509261317,1.39387,1.39361,1.39383,1.39363,259,m1,1.3935757776024376,1.3935903705858885,1.3935972497917688,0,0,1.3935757776024376,1.3935972497917688,0.2,1,0,1,1
9,202509261318,1.39384,1.3936,1.39361,1.39383,227,m1,1.3935761181238064,1.3935907592871581,1.3935975646117251,0,0,1.3935761181238064,1.3935975646117251,0.2,1,0,1,1
10,202509261319,1.3937599999999999,1.3935899999999999,1.39374,1.39361,260,m1,1.3935777487892413,1.3935937145487984,1.3936010815348925,0,0,1.3935777487892413,1.3936010815348925,0.2,1,0,1,1
