,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,ema_200,ema_100,ema_80,peaks_min,peaks_max,median_max,median_min,channel_width_pips,channel_breakout_up,channel_breakout_down,signal,valid_signal
0,202509261309,0.79824,0.79807,0.79822,0.7981199999999999,273,m1,0.79822,0.79822,0.79822,0,0,0.79822,0.79822,0.0,0,0,0,0
1,202509261310,0.79832,0.7981199999999999,0.79823,0.79822,263,m1,0.7982200995024876,0.798220198019802,0.7982202469135803,0,0,0.7982200995024876,0.7982202469135803,0.0,1,0,1,1
2,202509261311,0.79837,0.79819,0.79836,0.79823,162,m1,0.798221491547239,0.7982229663758456,0.7982236976070721,0,0,0.798221491547239,0.7982236976070721,0.0,1,0,1,1
3,202509261312,0.79841,0.79831,0.79837,0.79836,199,m1,0.7982229692432864,0.7982258779327595,0.7982273100118358,0,0,0.7982229692432864,0.7982273100118358,0.0,1,0,1,1
4,202509261313,0.79845,0.79831,0.7983399999999999,0.79837,253,m1,0.7982241337284279,0.7982281377756751,0.7982300924806793,0,0,0.7982241337284279,0.7982300924806793,0.1,1,0,1,1
5,202509261314,0.79841,0.79826,0.7983399999999999,0.7983399999999999,207,m1,0.7982252866266526,0.7982303528692262,0.7982328062465885,0,0,0.7982252866266526,0.7982328062465885,0.1,1,0,1,1
6,202509261315,0.79837,0.79819,0.79826,0.7983399999999999,379,m1,0.7982256320333526,0.7982309399411226,0.79823347769729,0,0,0.7982256320333526,0.79823347769729,0.1,1,0,1,1
7,202509261316,0.79844,0.79819,0.79837,0.79826,346,m1,0.7982270685305333,0.7982336936056548,0.7982368486183447,0,0,0.7982270685305333,0.7982368486183447,0.1,1,0,1,1
8,202509261317,0.7986,0.79826,0.7986,0.79837,394,m1,0.7982307792914235,0.798240947197622,0.7982458153191262,0,0,0.7982307792914235,0.7982458153191262,0.2,1,0,1,1
9,202509261318,0.7986,0.79849,0.79852,0.7986,306,m1,0.7982336571094193,0.7982464729956888,0.7982525853112465,0,0,0.7982336571094193,0.7982525853112465,0.2,1,0,1,1
10,202509261319,0.79872,0.79844,0.79868,0.79852,320,m1,0.7982380983322112,0.7982550576888435,0.7982631387603515,0,0,0.7982380983322112,0.7982631387603515,0.3,1,0,1,1
11,202509261320,0.7987299999999999,0.79859,0.79863,0.79868,311,m1,0.7982419978512937,0.7982624822890645,0.798272197062565,0,0,0.7982419978512937,0.798272197062565,0.3,1,0,1,1
12,202509261321,0.79868,0.7986,0.79867,0.79863,294,m1,0.7982462565791416,0.7982705519467068,0.7982820193573165,0,0,0.7982462565791416,0.7982820193573165,0.4,1,0,1,1
13,202509261322,0.79885,0.7986,0.7988,0.79867,263,m1,0.7982517664639263,0.798281036066574,0.7982948090028148,0,0,0.7982517664639263,0.7982948090028148,0.4,1,0,1,1
14,202509261323,0.79914,0.7988,0.79908,0.7988,374,m1,0.7982600075936385,0.7982968571345626,0.7983141964348441,0,0,0.7982600075936385,0.7983141964348441,0.5,1,0,1,1
15,202509261324,0.79924,0.79902,0.79921,0.79908,328,m1,0.7982694602543984,0.7983149391715019,0.7983363150413912,0,0,0.7982694602543984,0.7983363150413912,0.7,1,0,1,1
16,202509261325,0.79923,0.79906,0.79919,0.79921,279,m1,0.7982786198538572,0.7983322671086998,0.7983573936823446,0,0,0.7982786198538572,0.7983573936823446,0.8,1,0,1,1
17,202509261326,0.79922,0.79911,0.79921,0.79919,230,m1,0.7982878873179979,0.7983496479580324,0.798378445690188,0,0,0.7982878873179979,0.798378445690188,0.9,1,0,1,1
18,202509261327,0.79927,0.79918,0.7992,0.79921,189,m1,0.7982969630660777,0.7983664866123288,0.7983987309817884,0,0,0.7982969630660777,0.7983987309817884,1.0,1,0,1,1
19,202509261328,0.79924,0.79904,0.7991,0.7992,218,m1,0.7983049534833307,0.7983810116299064,0.7984160462661887,0,0,0.7983049534833307,0.7984160462661887,1.1,1,0,1,1
20,202509261329,0.79913,0.79901,0.79905,0.7991,242,m1,0.7983123668815066,0.7983942589243637,0.7984316994448013,0,0,0.7983123668815066,0.7984316994448013,1.2,1,0,1,1
21,202509261330,0.79914,0.79894,0.79908,0.79905,283,m1,0.7983200050219892,0.7984078379555644,0.7984477068659174,0,0,0.7983200050219892,0.7984477068659174,1.3,1,0,1,1
